item_id,rating_count,mean_rating,rating_sum,share_pct,rank,title
50,555,4.358558558558559,2419,0.7183,1.0,Star Wars (1977)
100,495,4.13939393939394,2049,0.6085,2.0,Fargo (1996)
181,489,4.008179959100205,1960,0.582,3.0,Return of the Jedi (1983)
258,484,3.78099173553719,1830,0.5434,4.0,Contact (1997)
174,407,4.267813267813268,1737,0.5158,5.0,Raiders of the Lost Ark (1981)
286,461,3.6529284164859,1684,0.5001,6.0,"English Patient, The (1996)"
127,391,4.283887468030691,1675,0.4974,7.0,"Godfather, The (1972)"
1,430,3.8767441860465115,1667,0.495,8.0,Toy Story (1995)
98,371,4.293800539083558,1593,0.4731,9.0,"Silence of the Lambs, The (1991)"
288,460,3.4478260869565216,1586,0.471,10.0,Scream (1996)
56,377,4.047745358090186,1526,0.4532,11.0,Pulp Fiction (1994)
300,419,3.6181384248210025,1516,0.4502,12.0,Air Force One (1997)
172,354,4.186440677966102,1482,0.4401,13.0,"Empire Strikes Back, The (1980)"
294,459,3.1459694989106755,1444,0.4288,14.0,Liar Liar (1997)
7,378,3.7857142857142856,1431,0.4249,15.0,Twelve Monkeys (1995)
121,414,3.4444444444444446,1426,0.4235,16.0,Independence Day (ID4) (1996)
313,324,4.237654320987654,1373,0.4077,17.0,Titanic (1997)
237,366,3.702185792349727,1355,0.4024,18.0,Jerry Maguire (1996)
117,356,3.705056179775281,1319,0.3917,19.0,"Rock, The (1996)"
173,314,4.171974522292993,1310,0.389,20.0,"Princess Bride, The (1987)"
79,320,4.040625,1293,0.384,21.0,"Fugitive, The (1993)"
318,287,4.484320557491289,1287,0.3822,22.0,Schindler's List (1993)
222,349,3.66189111747851,1278,0.3795,23.0,Star Trek: First Contact (1996)
204,334,3.820359281437126,1276,0.3789,24.0,Back to the Future (1985)
210,320,3.934375,1259,0.3739,25.0,Indiana Jones and the Last Crusade (1989)
168,303,4.0627062706270625,1231,0.3656,26.0,Monty Python and the Holy Grail (1974)
64,272,4.448529411764706,1210,0.3593,27.0,"Shawshank Redemption, The (1994)"
69,314,3.840764331210191,1206,0.3581,28.0,Forrest Gump (1994)
22,286,4.153846153846154,1188,0.3528,29.0,Braveheart (1995)
302,286,4.15034965034965,1187,0.3525,30.0,L.A. Confidential (1997)
195,297,3.936026936026936,1169,0.3471,31.0,"Terminator, The (1984)"
96,287,4.003484320557491,1149,0.3412,32.0,Terminator 2: Judgment Day (1991)
183,285,4.021052631578947,1146,0.3403,33.0,Alien (1979)
269,289,3.9411764705882355,1139,0.3382,34.0,"Full Monty, The (1997)"
423,294,3.8435374149659864,1130,0.3356,35.0,E.T. the Extra-Terrestrial (1982)
151,307,3.6416938110749184,1118,0.332,36.0,Willy Wonka and the Chocolate Factory (1971)
12,255,4.3803921568627455,1117,0.3317,37.0,"Usual Suspects, The (1995)"
176,280,3.942857142857143,1104,0.3278,38.0,Aliens (1986)
89,267,4.134831460674158,1104,0.3278,38.0,Blade Runner (1982)
9,283,3.862190812720848,1093,0.3246,40.0,Dead Man Walking (1995)
357,254,4.283464566929134,1088,0.3231,41.0,One Flew Over the Cuckoo's Nest (1975)
191,260,4.173076923076923,1085,0.3222,42.0,Amadeus (1984)
257,289,3.7508650519031144,1084,0.3219,43.0,Men in Black (1997)
405,326,3.3190184049079754,1082,0.3213,44.0,Mission: Impossible (1996)
216,276,3.9130434782608696,1080,0.3207,45.0,When Harry Met Sally... (1989)
28,273,3.93040293040293,1073,0.3186,46.0,Apollo 13 (1995)
483,237,4.4641350210970465,1058,0.3142,47.0,Casablanca (1942)
276,284,3.704225352112676,1052,0.3124,48.0,Leaving Las Vegas (1995)
15,276,3.760869565217391,1038,0.3082,49.0,Mr. Holland's Opus (1995)
202,272,3.7720588235294117,1026,0.3047,50.0,Groundhog Day (1993)
