item_id,correlation,rating_count,title
172,0.751619401341296,354,"Empire Strikes Back, The (1980)"
181,0.6794529915830635,489,Return of the Jedi (1983)
174,0.5264323842233428,407,Raiders of the Lost Ark (1981)
614,0.5102607522727781,50,Giant (1956)
249,0.40998585285360956,123,Austin Powers: International Man of Mystery (1997)
486,0.37043619299819774,64,Sabrina (1954)
194,0.3677224540569847,235,"Sting, The (1973)"
210,0.3531068276556424,320,Indiana Jones and the Last Crusade (1989)
544,0.3526460365995029,66,Things to Do in Denver when You're Dead (1995)
736,0.34706285853837404,76,Shadowlands (1993)
